rank	chromosome	start	end	pvalue	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
#33	1	7969000	7970000	0.002591231049729	0	-	-	-	-
#34	3	112017000	112018000	0.0027469130373156	0	-	-	-	-
#35	3	4622000	4623000	0.0027469130373156	2	ensssct00000071066	c7orf26-202	protein_coding	3876
#36	14	23453000	23454000	0.0027469130373156	3	ensssct00000010681	ulk1-201	protein_coding	-4862
#37	9	20476000	20477000	0.0027469130373156	0	-	-	-	-
#38	18	710000	711000	0.0027469130373156	0	-	-	-	-
#39	13	189172000	189173000	0.0027469130373156	9	ensssct00000051244	mrpl39-202	protein_coding	-4120
#40	8	137568000	137569000	0.0027469130373156	0	-	-	-	-
#41	3	122228000	122229000	0.0027469130373156	0	-	-	-	-
#42	2	77021000	77022000	0.0027469130373156	0	-	-	-	-
#43	3	69599000	69600000	0.0027469130373156	0	-	-	-	-
#44	7	114416000	114417000	0.0027469130373156	0	-	-	-	-
#45	3	93259000	93260000	0.0027469130373156	1	ensssct00000088167	-	lncrna	5073
#46	15	60038000	60039000	0.0027469130373156	0	-	-	-	-
#47	1	7322000	7323000	0.0027469130373156	0	-	-	-	-
#48	14	140366000	140367000	0.0027469130373156	3	ensssct00000030128	bnip3-201	protein_coding	892
#49	12	36104000	36105000	0.0027469130373156	10	ensssct00000081469	tubd1-201	protein_coding	5042
#50	1	203633000	203634000	0.0027469130373156	0	-	-	-	-
#51	11	855000	856000	0.0027469130373156	0	-	-	-	-
#52	12	1009000	1010000	0.0027469130373156	0	-	-	-	-
#53	6	169911000	169912000	0.0027469130373156	1	ensssct00000076319	-	lncrna	9958
#54	17	57073000	57074000	0.0027806871434745	1	ensssct00000008207	gcnt7-201	protein_coding	-4495
#55	9	134762000	134763000	0.0027806871434745	0	-	-	-	-
#56	6	4706000	4707000	0.0027806871434745	1	ensssct00000060999	mlycd-201	protein_coding	-7339
#57	2	151599000	151600000	0.0027806871434745	1	ensssct00000067341	synpo-202	protein_coding	5321
#58	9	7758000	7759000	0.0027806871434745	3	ensssct00000065015	p2ry6-205	protein_coding	-4718
#59	1	237605000	237606000	0.0027806871434745	0	-	-	-	-
#60	9	7245000	7246000	0.0027806871434745	1	ensssct00000090393	arap1-203	protein_coding	5577
#61	4	72450000	72451000	0.0027806871434745	0	-	-	-	-
#62	11	57000	58000	0.0028140102738005	2	ensssct00000082481	-	lncrna	-6137
#63	13	207022000	207023000	0.0028140102738005	3	ensssct00000076226	-	protein_coding	-6849
#64	10	9628000	9629000	0.0028140102738005	1	ensssct00000084252	eprs1-201	protein_coding	8308
#65	3	15695000	15696000	0.0028140102738005	0	-	-	-	-
#66	16	77415000	77416000	0.0028493800076908	0	-	-	-	-
#67	6	43541000	43542000	0.0029990556860849	0	-	-	-	-
#68	15	84276000	84277000	0.0030723596274508	0	-	-	-	-
#69	9	133591000	133592000	0.0031548037470772	0	-	-	-	-
#70	16	54985000	54986000	0.0032530230418181	0	-	-	-	-
#71	4	123444000	123445000	0.0032530230418181	1	ensssct00000050281	bcar3-201	protein_coding	-3429
#72	3	125142000	125143000	0.0032530230418181	0	-	-	-	-
#73	3	111735000	111736000	0.0032530230418181	3	ensssct00000024681	nrbp1-203	protein_coding	-1696
#74	4	1046000	1047000	0.0032798594741409	0	-	-	-	-
#75	8	400000	401000	0.0032818722014469	0	-	-	-	-
#76	2	89279000	89280000	0.0033367631350133	0	-	-	-	-
#77	6	60691000	60692000	0.0033367631350133	0	-	-	-	-
#78	14	140783000	140784000	0.0033367631350133	1	ensssct00000011777	inpp5a-202	protein_coding	-3904
#79	12	52966000	52967000	0.0033367631350133	1	ensssct00000019532	efnb3-201	protein_coding	3484
#80	18	5280000	5281000	0.0035881559101373	0	-	-	-	-
#81	18	5582000	5583000	0.0035881559101373	0	-	-	-	-
#82	2	137089000	137090000	0.0035881559101373	2	ensssct00000072851	-	protein_coding	-6633
#83	13	72538000	72539000	0.0035881559101373	0	-	-	-	-
#84	13	138282000	138283000	0.0035881559101373	0	-	-	-	-
#85	AEMK02000682.1	464000	465000	0.0035881559101373	0	-	-	-	-
#86	6	115851000	115852000	0.0035881559101373	5	ensssct00000083559	rnf125-201	protein_coding	5084
#87	15	136486000	136487000	0.0035881559101373	0	-	-	-	-
#88	1	262165000	262166000	0.0035881559101373	0	-	-	-	-
#89	17	12935000	12936000	0.0035881559101373	0	-	-	-	-
#90	6	2638000	2639000	0.0035881559101373	0	-	-	-	-
#91	7	1515000	1516000	0.0035881559101373	0	-	-	-	-
#92	14	110524000	110525000	0.0035881559101373	0	-	-	-	-
#93	18	42380000	42381000	0.0035881559101373	0	-	-	-	-
#94	16	51685000	51686000	0.0035881559101373	0	-	-	-	-
#95	2	13161000	13162000	0.0035881559101373	0	-	-	-	-
#96	4	6757000	6758000	0.0036186136729614	0	-	-	-	-
#97	12	58025000	58026000	0.0037058724276661	0	-	-	-	-
#98	14	7950000	7951000	0.0038610415537885	0	-	-	-	-
#99	12	1712000	1713000	0.0038610415537885	0	-	-	-	-
#100	AEMK02000682.1	875000	876000	0.0038610415537885	3	ensssct00000055950	clic3-201	protein_coding	-1495
#101	12	577000	578000	0.0038610415537885	0	-	-	-	-
#102	2	58290000	58291000	0.0038610415537885	2	ensssct00000015217	gmip-201	protein_coding	-3278
#103	3	4599000	4600000	0.0038610415537885	1	ensssct00000054297	znf853-201	protein_coding	-7494
#104	3	915000	916000	0.0039452265977464	0	-	-	-	-
#105	9	3125000	3126000	0.0041317507738881	2	ensssct00000026121	tpp1-201	protein_coding	9642
#106	6	7605000	7606000	0.0041317507738881	0	-	-	-	-
#107	X	12035000	12036000	0.0041317507738881	2	ensssct00000034866	pir-201	protein_coding	-1254
#108	14	28861000	28862000	0.0041317507738881	0	-	-	-	-
#109	3	28655000	28656000	0.0041443442340122	0	-	-	-	-
#110	5	65081000	65082000	0.0041515853505721	0	-	-	-	-
#111	1	121366000	121367000	0.0041515853505721	2	ensssct00000062423	usp8-202	protein_coding	9079
#112	5	69912000	69913000	0.0041515853505721	0	-	-	-	-
#113	13	205863000	205864000	0.0041515853505721	0	-	-	-	-
#114	17	53026000	53027000	0.0041515853505721	0	-	-	-	-
#115	5	14293000	14294000	0.0041515853505721	0	-	-	-	-
#116	5	4262000	4263000	0.0041515853505721	0	-	-	-	-
#117	12	24141000	24142000	0.0041515853505721	0	-	-	-	-
#118	8	55714000	55715000	0.0041515853505721	0	-	-	-	-
#119	2	42005000	42006000	0.0041515853505721	0	-	-	-	-
#120	10	63898000	63899000	0.0041515853505721	1	ensssct00000075696	-	pseudogene	-4731
#121	14	46041000	46042000	0.0041515853505721	1	ensssct00000067394	-	lncrna	-8241
#122	10	3409000	3410000	0.0041515853505721	0	-	-	-	-
#123	12	46633000	46634000	0.0041515853505721	2	ensssct00000019373	-	protein_coding	3562
#124	7	68150000	68151000	0.0041515853505721	0	-	-	-	-
#125	4	354000	355000	0.0041515853505721	3	ensssct00000061953	tonsl-202	protein_coding	-4003
#126	4	71445000	71446000	0.0041515853505721	0	-	-	-	-
#127	8	3830000	3831000	0.0041515853505721	2	ensssct00000029880	-	protein_coding	-1320
#128	17	58011000	58012000	0.0041515853505721	0	-	-	-	-
#129	6	166952000	166953000	0.0041515853505721	7	ensssct00000075854	-	lncrna	4170
#130	X	12764000	12765000	0.0041515853505721	1	ensssct00000087224	-	processed_pseudogene	4004
#131	12	10389000	10390000	0.0041515853505721	1	ensssct00000073995	kcnj16-205	protein_coding	7088
#132	6	70819000	70820000	0.0041515853505721	0	-	-	-	-
#133	1	9088000	9089000	0.0041515853505721	0	-	-	-	-
#134	14	123382000	123383000	0.0041515853505721	1	ensssct00000055546	u6.558-201	snrna	6294
#135	13	90728000	90729000	0.0041515853505721	0	-	-	-	-
#136	18	16659000	16660000	0.0041515853505721	0	-	-	-	-
#137	3	38032000	38033000	0.0041515853505721	2	ensssct00000084790	-	lncrna	-799
#138	14	115416000	115417000	0.0041515853505721	0	-	-	-	-
#139	11	45471000	45472000	0.0041515853505721	0	-	-	-	-
#140	11	18040000	18041000	0.0041515853505721	6	ensssct00000069879	ebpl-204	protein_coding	0
#141	3	38770000	38771000	0.0041515853505721	1	ensssct00000008720	c16orf90-201	protein_coding	-9867
#142	6	108716000	108717000	0.0041515853505721	0	-	-	-	-
#143	1	45779000	45780000	0.0041515853505721	0	-	-	-	-
#144	8	6071000	6072000	0.0041861818951602	4	ensssct00000085853	zbtb49-202	protein_coding	9303
#145	11	22640000	22641000	0.0042534787570017	1	ensssct00000044952	tsc22d1-203	protein_coding	-9039
#146	11	7208000	7209000	0.004457267148645	2	ensssct00000044321	-	protein_coding	-6236
#147	6	60430000	60431000	0.0046064163711222	0	-	-	-	-
#148	2	81261000	81262000	0.0046064163711222	1	ensssct00000067518	-	lncrna	-8041
#149	X	15054000	15055000	0.0047534446171186	0	-	-	-	-
#150	15	132784000	132785000	0.0047534446171186	0	-	-	-	-
#151	4	75690000	75691000	0.0047914130125327	0	-	-	-	-
#152	14	138746000	138747000	0.0047914130125327	0	-	-	-	-
#153	X	108924000	108925000	0.0047914130125327	0	-	-	-	-
#154	7	13549000	13550000	0.0047914130125327	1	ensssct00000056988	u6.580-201	snrna	-6523
#155	7	4687000	4688000	0.0047914130125327	4	ensssct00000001115	ssr1-201	protein_coding	-1115
#156	7	3233000	3234000	0.0047914130125327	0	-	-	-	-
#157	5	14774000	14775000	0.0047914130125327	0	-	-	-	-
#158	10	67779000	67780000	0.0047914130125327	0	-	-	-	-
#159	1	12189000	12190000	0.0047914130125327	1	ensssct00000087929	-	protein_coding	-2907
#160	3	4594000	4595000	0.0047914130125327	1	ensssct00000054297	znf853-201	protein_coding	-2494
#161	17	11925000	11926000	0.0047914130125327	2	ensssct00000055022	fnta-201	protein_coding	2357
#162	8	56444000	56445000	0.0047914130125327	1	ensssct00000066521	-	lncrna	-7216
#163	6	52352000	52353000	0.0047914130125327	2	ensssct00000081886	hif3a-202	protein_coding	-2970
#164	2	141584000	141585000	0.0047914130125327	2	ensssct00000050292	psd2-201	protein_coding	3399
#165	3	46097000	46098000	0.0047914130125327	4	ensssct00000008893	znf2-203	protein_coding	8361
#166	17	43530000	43531000	0.0047914130125327	0	-	-	-	-
#167	10	66825000	66826000	0.0048589611283109	0	-	-	-	-
#168	3	40150000	40151000	0.0048589611283109	6	ensssct00000061133	-	protein_coding	-7685
#169	5	894000	895000	0.0049884118750689	0	-	-	-	-
#170	18	15110000	15111000	0.0049884118750689	0	-	-	-	-
#171	7	3147000	3148000	0.0049884118750689	0	-	-	-	-
#172	8	74553000	74554000	0.0049884118750689	3	ensssct00000009856	fgg-201	protein_coding	0
#173	1	190453000	190454000	0.0049884118750689	0	-	-	-	-
#174	10	66420000	66421000	0.0049884118750689	1	ensssct00000067745	-	lncrna	304
#175	11	2596000	2597000	0.0049884118750689	0	-	-	-	-
#176	3	41391000	41392000	0.0049884118750689	4	ensssct00000049270	pdia2-201	protein_coding	6348
#177	17	61610000	61611000	0.0049884118750689	2	ensssct00000071855	mtg2-203	protein_coding	-1192
#178	AEMK02000485.1	44000	45000	0.0049884118750689	0	-	-	-	-
#179	12	7962000	7963000	0.0049884118750689	1	ensssct00000068152	u2.36-201	snrna	9539
#180	2	134207000	134208000	0.0049884118750689	1	ensssct00000015593	meikin-201	protein_coding	0
#181	3	39781000	39782000	0.0049884118750689	9	ensssct00000008816	bricd5-201	protein_coding	-60
#182	1	167025000	167026000	0.0049884118750689	0	-	-	-	-
#183	13	52505000	52506000	0.0049884118750689	0	-	-	-	-
#184	11	1131000	1132000	0.0049884118750689	0	-	-	-	-
#185	16	65710000	65711000	0.0049884118750689	6	ensssct00000021262	u6.180-201	snrna	-3452
#186	4	11893000	11894000	0.0049884118750689	0	-	-	-	-
#187	6	29508000	29509000	0.0049884118750689	1	ensssct00000003123	gnao1-203	protein_coding	0
#188	11	78110000	78111000	0.0049884118750689	0	-	-	-	-
#189	7	121394000	121395000	0.0049884118750689	0	-	-	-	-
#190	14	5585000	5586000	0.0049884118750689	0	-	-	-	-
#191	2	150862000	150863000	0.0049884118750689	0	-	-	-	-
#192	4	1540000	1541000	0.0049884118750689	3	ensssct00000079447	-	protein_coding	0
#193	12	2019000	2020000	0.0049884118750689	1	ensssct00000069333	-	lncrna	-2603
#194	12	58160000	58161000	0.0049884118750689	0	-	-	-	-
#195	11	1404000	1405000	0.0049884118750689	6	ensssct00000051250	zdhhc20-203	protein_coding	750
#196	13	4701000	4702000	0.0049884118750689	0	-	-	-	-
#197	2	150715000	150716000	0.0049884118750689	0	-	-	-	-
#198	9	8483000	8484000	0.0049884118750689	0	-	-	-	-
#199	15	111104000	111105000	0.0049884118750689	0	-	-	-	-
#200	18	10520000	10521000	0.0049884118750689	0	-	-	-	-
#201	12	52802000	52803000	0.0049884118750689	0	-	-	-	-
#202	2	14679000	14680000	0.0049884118750689	0	-	-	-	-
#203	18	1304000	1305000	0.0049884118750689	0	-	-	-	-
#204	7	65682000	65683000	0.0049884118750689	1	ensssct00000074245	-	lncrna	2826
#205	6	137678000	137679000	0.0049884118750689	2	ensssct00000082903	slc44a5-202	protein_coding	3312
#206	2	9746000	9747000	0.0050300367435917	2	ensssct00000030503	fen1-201	protein_coding	6893
#207	18	55628000	55629000	0.0050300367435917	0	-	-	-	-
#208	13	200412000	200413000	0.0050518017710915	0	-	-	-	-
#209	18	4980000	4981000	0.005105204525143	1	ensssct00000017889	cct8l2-201	protein_coding	76
#210	AEMK02000682.1	1140000	1141000	0.005105204525143	0	-	-	-	-
#211	3	18622000	18623000	0.005105204525143	2	ensssct00000035109	spns1-202	protein_coding	6646
#212	6	51537000	51538000	0.005105204525143	0	-	-	-	-
#213	12	61096000	61097000	0.005105204525143	0	-	-	-	-
#214	4	4513000	4514000	0.005105204525143	0	-	-	-	-
#215	X	124908000	124909000	0.005105204525143	0	-	-	-	-
#216	3	92890000	92891000	0.005105204525143	0	-	-	-	-
#217	1	273158000	273159000	0.005105204525143	0	-	-	-	-
#218	7	823000	824000	0.0052368285484641	0	-	-	-	-
#219	5	8377000	8378000	0.0052368285484641	0	-	-	-	-
#220	8	32249000	32250000	0.0052472428757013	0	-	-	-	-
#221	12	15045000	15046000	0.0052947755195702	4	ensssct00000088045	-	lncrna	6739
#222	11	76199000	76200000	0.0053017597900801	0	-	-	-	-
#223	12	58314000	58315000	0.0053017597900801	1	ensssct00000075793	-	lncrna	-3188
#224	10	24735000	24736000	0.0053017597900801	0	-	-	-	-
#225	7	93699000	93700000	0.0053017597900801	0	-	-	-	-
#226	7	50143000	50144000	0.0053017597900801	0	-	-	-	-
#227	7	48248000	48249000	0.0053017597900801	2	ensssct00000001986	rasgrf1-201	protein_coding	-1251
#228	12	53616000	53617000	0.0053017597900801	1	ensssct00000038409	u6.777-201	snrna	-6137
#229	8	137468000	137469000	0.0053017597900801	0	-	-	-	-
#230	7	12323000	12324000	0.0053017597900801	0	-	-	-	-
#231	6	121038000	121039000	0.0053017597900801	0	-	-	-	-
#232	9	136898000	136899000	0.0053017597900801	0	-	-	-	-
#233	8	71247000	71248000	0.0053017597900801	0	-	-	-	-
#234	6	72342000	72343000	0.0053017597900801	0	-	-	-	-
#235	13	89737000	89738000	0.0053017597900801	0	-	-	-	-
#236	9	136651000	136652000	0.0053017597900801	0	-	-	-	-
#237	7	1433000	1434000	0.0053017597900801	1	ensssct00000087275	-	lncrna	258
#238	6	169245000	169246000	0.0053017597900801	0	-	-	-	-
#239	9	137638000	137639000	0.0053017597900801	0	-	-	-	-
#240	12	5284000	5285000	0.0053017597900801	1	ensssct00000053726	rnf157-203	protein_coding	-6707
#241	1	655000	656000	0.0053017597900801	0	-	-	-	-
#242	11	78987000	78988000	0.0053017597900801	0	-	-	-	-
#243	3	38507000	38508000	0.0053017597900801	0	-	-	-	-
#244	5	15585000	15586000	0.0053017597900801	0	-	-	-	-
#245	1	90048000	90049000	0.0053017597900801	0	-	-	-	-
#246	17	61356000	61357000	0.0053017597900801	0	-	-	-	-
#247	1	218378000	218379000	0.0053017597900801	0	-	-	-	-
#248	2	130995000	130996000	0.0053017597900801	0	-	-	-	-
#249	X	108939000	108940000	0.0053017597900801	0	-	-	-	-
#250	15	138998000	138999000	0.0053017597900801	0	-	-	-	-
#251	X	54682000	54683000	0.0053017597900801	0	-	-	-	-
#252	1	2294000	2295000	0.0053017597900801	0	-	-	-	-
#253	1	2045000	2046000	0.0053017597900801	0	-	-	-	-
#254	1	265857000	265858000	0.0053017597900801	3	ensssct00000044592	scai-203	protein_coding	9058
#255	17	62195000	62196000	0.0053017597900801	2	ensssct00000050643	slc17a9-202	protein_coding	-4436
#256	1	937000	938000	0.0053017597900801	0	-	-	-	-
#257	11	73160000	73161000	0.0053054445363898	0	-	-	-	-
#258	1	272181000	272182000	0.0053361326538377	0	-	-	-	-
#259	7	4438000	4439000	0.005353482615926	0	-	-	-	-
#260	8	138676000	138677000	0.005353482615926	0	-	-	-	-
#261	3	38663000	38664000	0.0053851518603353	2	ensssct00000041496	nlrc3-201	protein_coding	9622
#262	1	3222000	3223000	0.0053855685825946	0	-	-	-	-
#263	15	118595000	118596000	0.0053855685825946	1	ensssct00000017613	marchf4-201	protein_coding	-7451
#264	10	9541000	9542000	0.0053855685825946	2	ensssct00000046075	-	protein_coding	1466
#265	2	15018000	15019000	0.0053855685825946	2	ensssct00000076869	-	lncrna	765
#266	X	42854000	42855000	0.0053855685825946	0	-	-	-	-
#267	10	63454000	63455000	0.0053855685825946	0	-	-	-	-
#268	4	129287000	129288000	0.0053855685825946	0	-	-	-	-
#269	5	19106000	19107000	0.0053855685825946	2	ensssct00000072499	-	lncrna	-1280
#270	15	137831000	137832000	0.0054306036139946	3	ensssct00000017793	per2-201	protein_coding	5070
#271	7	2530000	2531000	0.0054306036139946	0	-	-	-	-
#272	1	157184000	157185000	0.0054306036139946	0	-	-	-	-
#273	17	26199000	26200000	0.0054985578309249	0	-	-	-	-
#274	8	6060000	6061000	0.0055000930009404	0	-	-	-	-
#275	10	60737000	60738000	0.0056399286987522	0	-	-	-	-
#276	16	78783000	78784000	0.0056674641299966	0	-	-	-	-
#277	7	11756000	11757000	0.0057221191372693	2	ensssct00000068693	-	lncrna	6735
#278	10	68286000	68287000	0.0057221191372693	0	-	-	-	-
#279	12	1550000	1551000	0.0057554304747394	1	ensssct00000052977	cep131-203	protein_coding	-5786
#280	6	69995000	69996000	0.0057554304747394	0	-	-	-	-
#281	14	58767000	58768000	0.0057554304747394	0	-	-	-	-
#282	15	56418000	56419000	0.0057554304747394	0	-	-	-	-
#283	15	31037000	31038000	0.0057554304747394	0	-	-	-	-
#284	1	98362000	98363000	0.0057554304747394	0	-	-	-	-
#285	10	68740000	68741000	0.0057554304747394	0	-	-	-	-
#286	12	1039000	1040000	0.0057554304747394	2	ensssct00000063602	notum-201	protein_coding	-2909
#287	6	63996000	63997000	0.005815263355601	0	-	-	-	-
#288	1	777000	778000	0.005815263355601	0	-	-	-	-
#289	13	198659000	198660000	0.005815263355601	0	-	-	-	-
#290	14	5929000	5930000	0.005815263355601	0	-	-	-	-
#291	3	19538000	19539000	0.005815263355601	0	-	-	-	-
#292	AEMK02000452.1	1442000	1443000	0.005815263355601	0	-	-	-	-
#293	7	9184000	9185000	0.0058173677609439	0	-	-	-	-
#294	3	49504000	49505000	0.0058173677609439	0	-	-	-	-
#295	7	98156000	98157000	0.0058173677609439	2	ensssct00000002642	-	lncrna	5738
#296	8	3839000	3840000	0.0058173677609439	0	-	-	-	-
#297	4	54201000	54202000	0.0058173677609439	0	-	-	-	-
#298	4	1732000	1733000	0.0058173677609439	1	ensssct00000086693	-	protein_coding	-2624
#299	4	79285000	79286000	0.0058173677609439	1	ensssct00000027086	u6.380-201	snrna	-9265
#300	11	423000	424000	0.0058173677609439	0	-	-	-	-
#301	17	33605000	33606000	0.0058173677609439	4	ensssct00000049590	-	protein_coding	5204
#302	1	80777000	80778000	0.0058173677609439	0	-	-	-	-
#303	18	52933000	52934000	0.0058173677609439	0	-	-	-	-
#304	9	131567000	131568000	0.0058173677609439	0	-	-	-	-
#305	14	127854000	127855000	0.0058173677609439	0	-	-	-	-
#306	2	140408000	140409000	0.0058173677609439	0	-	-	-	-
#307	2	144744000	144745000	0.0058173677609439	0	-	-	-	-
#308	2	72664000	72665000	0.0058173677609439	6	ensssct00000055256	khsrp-206	protein_coding	-7049
#309	X	16327000	16328000	0.0058173677609439	0	-	-	-	-
#310	13	129373000	129374000	0.0058173677609439	0	-	-	-	-
#311	AEMK02000328.1	588000	589000	0.0058173677609439	1	ensssct00000026888	ftcd-201	protein_coding	-8300
#312	1	78802000	78803000	0.0058173677609439	0	-	-	-	-
#313	5	51267000	51268000	0.0058173677609439	0	-	-	-	-
#314	12	20720000	20721000	0.0058173677609439	5	ensssct00000018962	nkiras2-201	protein_coding	2704
#315	13	166410000	166411000	0.0058173677609439	0	-	-	-	-
#316	11	78339000	78340000	0.0058173677609439	0	-	-	-	-
#317	5	103797000	103798000	0.0058173677609439	3	ensssct00000066680	-	lncrna	135
#318	13	207261000	207262000	0.0058371914327593	4	ensssct00000030640	-	snorna	-2091
#319	12	57653000	57654000	0.0058371914327593	0	-	-	-	-
#320	X	7240000	7241000	0.0058371914327593	0	-	-	-	-
#321	10	24316000	24317000	0.0058371914327593	3	ensssct00000038003	arl8a-201	protein_coding	7229
#322	8	65356000	65357000	0.0058371914327593	0	-	-	-	-
#323	2	24351000	24352000	0.0058371914327593	0	-	-	-	-
#324	17	51368000	51369000	0.0058371914327593	0	-	-	-	-
#325	12	22784000	22785000	0.0058371914327593	0	-	-	-	-
#326	12	52807000	52808000	0.0058371914327593	0	-	-	-	-
#327	13	33766000	33767000	0.0058371914327593	2	ensssct00000012505	rad54l2-201	protein_coding	4814
#328	1	221838000	221839000	0.0058371914327593	1	ensssct00000039664	tmem252-201	protein_coding	9480
#329	8	86849000	86850000	0.0058371914327593	0	-	-	-	-
#330	8	131016000	131017000	0.0058371914327593	0	-	-	-	-
#331	2	151235000	151236000	0.0058371914327593	1	ensssct00000021183	u1.14-201	snrna	2617
#332	2	151499000	151500000	0.0058371914327593	2	ensssct00000057924	ndst1-201	protein_coding	-9479
#333	13	197682000	197683000	0.0058371914327593	2	ensssct00000031820	-	protein_coding	4783
#334	X	106622000	106623000	0.0058371914327593	0	-	-	-	-
#335	18	2054000	2055000	0.0058371914327593	2	ensssct00000073828	-	lncrna	5932
#336	9	3268000	3269000	0.0058371914327593	1	ensssct00000056279	trim3-208	protein_coding	3801
#337	18	54693000	54694000	0.0058371914327593	0	-	-	-	-
#338	3	9952000	9953000	0.0058371914327593	3	ensssct00000008432	zp3-201	protein_coding	-7059
#339	10	68435000	68436000	0.0058371914327593	0	-	-	-	-
#340	14	61203000	61204000	0.0058371914327593	0	-	-	-	-
#341	6	53525000	53526000	0.0058371914327593	0	-	-	-	-
#342	6	46642000	46643000	0.0058371914327593	0	-	-	-	-
#343	6	69119000	69120000	0.0058371914327593	0	-	-	-	-
#344	6	22678000	22679000	0.0058371914327593	0	-	-	-	-
#345	14	133875000	133876000	0.0058371914327593	0	-	-	-	-
#346	15	138509000	138510000	0.0058371914327593	0	-	-	-	-
#347	6	108382000	108383000	0.0058371914327593	5	ensssct00000027568	rmc1-205	protein_coding	-5204
#348	12	5022000	5023000	0.0058371914327593	1	ensssct00000048496	rhbdf2-201	protein_coding	-4557
#349	14	109648000	109649000	0.0058371914327593	1	ensssct00000090169	-	lncrna	-8363
#350	14	103625000	103626000	0.0058371914327593	0	-	-	-	-
#351	6	159787000	159788000	0.0058371914327593	0	-	-	-	-
#352	AEMK02000361.1	1939000	1940000	0.0058371914327593	1	ensssct00000080828	-	lncrna	-9885
#353	3	129646000	129647000	0.0058371914327593	0	-	-	-	-
#354	5	89364000	89365000	0.0058371914327593	0	-	-	-	-
#355	16	61595000	61596000	0.0058371914327593	0	-	-	-	-
#356	10	27079000	27080000	0.0058371914327593	3	ensssct00000020773	ssc-mir-24-2.1-201	mirna	0
#357	7	57585000	57586000	0.0058371914327593	0	-	-	-	-
#358	7	32912000	32913000	0.0058371914327593	0	-	-	-	-
#359	1	106916000	106917000	0.0058371914327593	0	-	-	-	-
#360	7	96629000	96630000	0.0058371914327593	0	-	-	-	-
#361	7	111077000	111078000	0.0058371914327593	0	-	-	-	-
#362	5	5588000	5589000	0.0058853797761861	0	-	-	-	-
#363	7	5029000	5030000	0.0058853797761861	0	-	-	-	-
#364	6	9713000	9714000	0.0059475808346538	0	-	-	-	-
#365	11	3320000	3321000	0.0059475808346538	0	-	-	-	-
#366	15	139319000	139320000	0.0059475808346538	2	ensssct00000084804	-	lncrna	7912
#367	15	138621000	138622000	0.005972200200835	2	ensssct00000076512	-	lncrna	1061
#368	14	51511000	51512000	0.005972200200835	6	ensssct00000050168	zdhhc8-204	protein_coding	-7827
#369	17	46184000	46185000	0.005972200200835	3	ensssct00000061473	sgk2-202	protein_coding	3256
#370	10	10665000	10666000	0.005972200200835	0	-	-	-	-
#371	1	253367000	253368000	0.005972200200835	0	-	-	-	-
